CultCode,제목,장소,startDate,startTime,EndDate,EndTime,지하철
148619,[노들섬] [20:04-20:24] EBS 스페이스 공감이 기록한 한국 대중음악 20년,노들갤러리 2관,2024-07-30,13:00,2024-08-11,20:00,"""용산역"", ""신용산역"", ""노들역"""
148344,[성북문화재단 아리랑시네센터] SAC on Screen 발레 [심청],아리랑시네센터 2관,2024-07-30,19:30,2024-07-30,,"""정릉역"""
147832,제5회 콘아니마 정기연주회 [가브리엘 포레 서거 100주년 기념 음악회],금호아트홀연세,2024-07-30,19:30,2024-07-30,21:20,"""신촌역"""
147785,[세종문화회관] NEC첼로앙상블 2024 정기연주회,세종체임버홀,2024-07-30,19:30,2024-07-30,,"""광화문역"", ""경복궁역"""
147502,[세종문화회관] chuchoter de lamour.,꿈의숲 콘서트홀,2024-07-31,,2024-07-31,,
148514,[세종뮤지엄갤러리] 송동옥 기획초대전,세종대학교 대양AI센터 지하2층 세종뮤지엄갤러리,2024-07-31,09:30,2024-08-11,16:30,"""어린이대공원역"""
148718,[서울시립과학관] 팝업전시 [과학 메뉴 추천],서울시립과학관 2층 B전시실 내 3D스페이스,2024-07-31,09:30,2024-09-01,17:30,"""하계역"""
148411,[성동문화재단] 2024년 사담사담 정규전 : 시각,갤러리 허브,2024-07-31,10:00,2024-08-02,18:00,"""왕십리역"""
148037,[서울시립 남서울미술관] SeMA 옴니버스 [제9행성],서울시립 남서울미술관 2층 전시실,2024-07-31,10:00,2024-10-27,20:00,"""사당역"""
148683,"[영등포문화재단] [술술센터] 섬과 산 展 | 김민철, 이서경",술술센터 지하1층 술술갤러리,2024-07-31,11:00,2024-08-14,19:00,"""문래역"""
149314,Overture: 불이 바람 될 때,이스랏아트룸,2024-07-31,13:00,2024-09-07,18:00,"""내방역"""
147994,[동작문화재단] 우리 동네 오케스트라 정기공연 [All that classic] 7월,신대방누리도서관 아트리(동작구 신대방1다길 19),2024-07-31,15:00,2024-07-31,,"""구로디지털단지역"""
147883,[양천문화재단] 2024 월간뮤지크 어게인 싱어,양천문화회관 대극장,2024-07-31,19:30,2024-07-31,,"""양천구청역"""
147787,[세종문화회관] 조무현 피아노 독주회,세종체임버홀,2024-07-31,19:30,2024-07-31,,"""광화문역"", ""경복궁역"""
147170,[은평문화재단] 기획공연 - 7월 숲속라이브 판땅고 [한 여름 밤의 탱고],은평문화예술회관 숲속극장,2024-07-31,19:30,2024-07-31,,"""불광역"", ""녹번역"", ""역촌역"""
148253,[시민청] 공간지원사업 [일인이색(一人二色)전 : 김민석 개인전],시민청 시민플라자 A (지하 1층),2024-08-01,09:00,2024-08-14,21:00,"""시청역"", ""을지로입구역"""
148684,[강서문화원] 2023 겸재 내일의 작가 대상 수상자전 [게우는 방],겸재정선미술관 제2기획전시실,2024-08-01,10:00,2024-09-01,18:00,"""양천향교역"", ""발산역"""
148315,[강북문화재단] 2024 강북Festa - 전시 안내,강북문화예술회관 강북진달래홀,2024-08-01,10:00,2024-09-03,17:00,"""수유역"""
148017,[서울디자인재단] AI Fusion,동대문디자인플라자 갤러리문,2024-08-01,10:00,2024-09-18,20:00,"""동대문역사문화공원역"""
147997,[강남문화재단] 제168회 강남마티네콘서트│GREAT COMPOSER SERIES,광림아트센터 장천홀,2024-08-01,11:00,2024-08-01,,"""압구정역"""
